Status,Type,Station name,Station address,LGA,Suburbs,Postcode,Latitude,Longitude,Opening hours,Operator,Number of station,Number of plugs,Charger_capacities,Tesla,Type 2,J-1772,Geopoint,ObjId,EV Station ID,Google maps drive to
Existing,Fast charger,Roseville Station charger,1 Clanville Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Brunswick River Inn charger,2 The Terrace,,,,,,,,,,,,,,,,,
Existing,Destination charger,Petersons Armidale Winery & Guesthouse charger,345 Dangarsleigh Road,,,,,,,,,,,,,,,,,
Existing,Destination charger,Back Creek charger,19 Buchanan Dr,,,,,,,,,,,,,,,,,
Existing,Destination charger,Aperture Digital charger,65A Barwan Street Narrabri NSW,NARRABRI,Narrabri,2390,-30.32772937,149.7858767,Open 24/7,,1,1,kW,0,1,0,-30.32772937,,,
Existing,Destination charger,CH Boutique Hotel charger,52 Brisbane St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Peak Hill Caravan Park charger,2 Ween St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Lake Macquarie Council charger,126-138 Main Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Lake Macquarie Motor Inn charger,798 Pacific Highway,,,,,,,,,,,,,,,,,
Existing,Destination charger,Esplanade Motel Warners Bay charger,568 The Esplanade,,,,,,,,,,,,,,,,,
Existing,Destination charger,The Ridge Nelson Bay charger,14 Gymea Way,,,,,,,,,,,,,,,,,
Existing,Destination charger,Seafarers Diamond Beach - Accessible Accommodation charger,16 Saltwater Cres,,,,,,,,,,,,,,,,,
Existing,Destination charger,NRMA Dubbo City Holiday Park (2) charger,18 Alfred street,,,,,,,,,,,,,,,,,
Existing,Destination charger,41 Station Street,,,,,,,,,,,,,,,,,,
Existing,Destination charger,SG Fleet Pymble charger,20 Bridge Street,,,,,,,,,,,,,,,,,
Existing,Destination charger,Bethany Manor charger,8-12 Eastview Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,4 Pines Brewing Company Wholesale Pty Limited charger,9/13 Winbourne Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Komatsu Fairfield charger,50-60 Fairfield St,,,,,,,,,,,,,,,,,
Existing,Destination charger,HomeCo Prestons charger,1975 Camden Valley Way,,,,,,,,,,,,,,,,,
Existing,Destination charger,Leppington Village Shopping Centre charger,108 Ingleburn Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,45 - 49 Harbourne Rd Parking charger,45-49 Harbourne Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,AXCharge St Cathedral Car Parking charger,2 Cathedral St,,,,,,,,,,,,,,,,,
Existing,Destination charger,16 Kent Street Parking charger,16 Kent Street Millers Point,,,,,,,,,,,,,,,,,
Existing,Destination charger,97 Glenayr Ave Parking charger,97 Glenayr Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,Arncliffe St Wolli Creek charger,Arncliffe St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Commbank Foundry Carpark charger,Shop 17/2 Central Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,The Canopy Lane Cove (2) charger,2 Rosenthal Ave,,,,,,,,,,,,,,,,,
Lane Cove NSW 2066,,,,,,,,,,,,,,,,,,,,
Existing,Destination charger,University of Wollongong charger,University of Wollongong,,,,,,,,,,,,,,,,,
Existing,Destination charger,Providence Park charger,46 Providence Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Anchors Aweigh Narooma charger,5 Tilba St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Tooleybuc Club Motor Inn charger,1 Lockhart Road,,,,,,,,,,,,,,,,,
Existing,Destination charger,Thredbo P4 Car Park charger,1 Friday Dr,,,,,,,,,,,,,,,,,
Existing,Destination charger,Tathra Hotel & Motel charger,8-12 Bega St,,,,,,,,,,,,,,,,,
Existing,Destination charger,The Panorama Jindabyne charger,16 Nettin Circuit,,,,,,,,,,,,,,,,,
Existing,Fast charger,Berowra Tennis Centre charger,6 Boundary Street,,,,,,,,,,,,,,,,,
Existing,Fast charger,Ampol Foodary Edmondson Park charger,2072 Camden Valley Way,,,,,,,,,,,,,,,,,
Existing,Fast charger,Ampol Foodary Penrith charger,153 Coreen Ave,,,,,,,,,,,,,,,,,
Existing,Fast charger,Shell Tyndale charger,2848 Big River Way,,,,,,,,,,,,,,,,,
Existing,Fast charger,Marketfair Campbelltown charger,4 Tindall St,,,,,,,,,,,,,,,,,
Existing,Fast charger,Lovell St Car Park charger,88 Lovell St,,,,,,,,,,,,,,,,,
Existing,Fast charger,Jugiong Playground & Swimming Pool charger,319 Riverside Dr,,,,,,,,,,,,,,,,,
Existing,Fast charger,Brighton St,,,,,,,,,,,,,,,,,,
Existing,Fast charger,Hope St Parking Lot charger,126 Hope St,,,,,,,,,,,,,,,,,
Existing,Fast charger,Quality Hotel Rules Club Wagga (2) charger,188 Fernleigh Rd,,,,,,,,,,,,,,,,,
Existing,Fast charger,Tramsheds Harold Park (2) charger,1 Dalgal Wy,,,,,,,,,,,,,,,,,
Existing,Destination charger,Gallery Motel charger,453 Tweed Valley Way,,,,,,,,,,,,,,,,,
Existing,Destination charger,The Sunseeker Byron Bay charger,100 Bangalow Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Big 4 Holiday Park charger,282 O'Keefes Ln,,,,,,,,,,,,,,,,,
Existing,Destination charger,North Coast Storage P/L charger,24 Industrial Dr,,,,,,,,,,,,,,,,,
Existing,Destination charger,Cedar Lodge Motel charger,119 Barney St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Gulgong Herbert Street Council Carpark charger,106-108 Herbert St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Blue Wren Wines charger,433 Ulan Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Best Western Plus Apollo International charger,290 Pacific Hwy,,,,,,,,,,,,,,,,,
Existing,Destination charger,Nelson Resort & Conference Centre charger,3 Government Road Nelson Bay New South Wales NSW 2315,PORT STEPHENS,Nelson Bay,2315,-32.720687,152.1428,,Tesla Destination,2,2,6 kW,2,0,0,-32.720687,,,
Existing,Destination charger,Club Maitland City (2) charger,14 Arthur Street,,,,,,,,,,,,,,,,,
Existing,Destination charger,Spicers Vineyards Estate charger,555 Hermitage Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Albatross Marina charger,44 Cook Pde,,,,,,,,,,,,,,,,,
Existing,Destination charger,Not available charger,100 Pacific Highway,CENTRAL COAST,Wyoming,2250,-33.411109,151.345927,,,1,1,kW,0,1,0,-33.411109,,,
Existing,Destination charger,Mount Druitt Hub charger,9 Ayres Grove,,,,,,,,,,,,,,,,,
Existing,Destination charger,Erina Fair charger,Penrose Cres,,,,,,,,,,,,,,,,,
Existing,Destination charger,Woolworths Chatswood East charger,17 Smith St,,,,,,,,,,,,,,,,,
Existing,Destination charger,mycar Chatswood charger,55 Alleyne St,,,,,,,,,,,,,,,,,
Existing,Destination charger,KFC Frenchs Forest charger,20 Frenchs Forest Rd E,,,,,,,,,,,,,,,,,
Existing,Destination charger,Supercheap Auto Penrith charger,13/23 Pattys Pl,,,,,,,,,,,,,,,,,
Existing,Destination charger,FIMER Australia charger,25 Helles Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,Stockland Wetherill Park charger,561-583 Polding St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Alpha Hotel Eastern Creek charger,1 Peter Brock Dr,,,,,,,,,,,,,,,,,
Existing,Destination charger,The Boulevarde Brighton Le Sands charger,The Boulevarde,,,,,,,,,,,,,,,,,
Existing,Destination charger,Endeavour Ave Parking charger,41-41A Endeavour Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,Woolworths Ashfield North charger,202 Parramatta Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Glenferrie Lodge Kirribilli charger,12a Carabella,,,,,,,,,,,,,,,,,
Existing,Destination charger,27 Campbell Ave Parking charger,27 Campbell Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,Des Renford Leisure Centre - Carpark charger,Jersey Rd and Robey St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Unity by Meriton - Mascot Central charger,256 Coward St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Kings Cross Car Park charger,9A Elizabeth Bay Road,,,,,,,,,,,,,,,,,
Existing,Destination charger,Ridge St Carpark charger,1 James Place,,,,,,,,,,,,,,,,,
Existing,Destination charger,AMP Capital - Circular Quay charger,Level 2/50 Bridge St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Ausgrid Homebush Depot (1) charger,25 Pomeroy St,,,,,,,,,,,,,,,,,
Existing,Destination charger,4 Pinaroo Pl Parking charger,4 Pinaroo Pl,,,,,,,,,,,,,,,,,
Existing,Destination charger,Lane Cove Market Square Car Park charger,24-28 Burns Bay Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,St Maur Winery charger,238 Old Argyle Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Mittagong Motel charger,7-11 Old Hume Hwy,,,,,,,,,,,,,,,,,
Existing,Destination charger,Shellharbour Civic Centre charger,76 Cygnet Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,Berrara Beach Holiday Chalets charger,22 Berrara Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Tesla destination charger Tumut Brewery charger,1-5 Capper St,,,,,,,,,,,,,,,,,
Existing,Destination charger,AirBNB Listing charger,3 Warrul Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Sycamore St Car Park charger,Dooley Lane,,,,,,,,,,,,,,,,,
Existing,Destination charger,NRMA Short Point cabin & Caravan Park charger,Short Point Road,,,,,,,,,,,,,,,,,
Existing,Destination charger,Peards Albury charger,119 Borella Rd,,,,,,,,,,,,,,,,,
Existing,Fast charger,ENGIE - DFO Homebush charger,3-5 Underwood Road,,,,,,,,,,,,,,,,,
Existing,Fast charger,Dapto Mall charger,Moombara St,,,,,,,,,,,,,,,,,
Existing,Fast charger,HomeCo Castle Hill charger,18 Victoria Avenue,,,,,,,,,,,,,,,,,
Existing,Fast charger,Civic Plaza 88 Christie charger,88 Christie St,,,,,,,,,,,,,,,,,
Existing,Fast charger,Kiewa St Car Park Rooftop charger,441 Kiewa St,,,,,,,,,,,,,,,,,
Existing,Fast charger,Parkes Swimming Pool charger,27 Dalton St,,,,,,,,,,,,,,,,,
Existing,Fast charger,Cowra Art Gallery charger,77 Darling St,,,,,,,,,,,,,,,,,
Existing,Fast charger,Middy's Wagga Wagga East charger,176 Hammond Ave,,,,,,,,,,,,,,,,,
Existing,Fast charger,Little Walker St Parking charger,1 Little Walker St,,,,,,,,,,,,,,,,,
Existing,Fast charger,Hands of Fame Park charger,2 Kable Ave,,,,,,,,,,,,,,,,,
Existing,Fast charger,Penrith Station Kiss and Ride charger,31 Jane Street,,,,,,,,,,,,,,,,,
Existing,Fast charger,Bathurst Visitor Information Centre charger,1 Kendall Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,Old Council Chambers Luxury Accommodation charger,157 Manners St,,,,,,,,,,,,,,,,,
Existing,Destination charger,The Clydesdale Motel & Steakhouse charger,143 Johnston Street,,,,,,,,,,,,,,,,,
Existing,Destination charger,Port Macquarie Base Hospital charger,1 Wrights Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Alabaster Motor Inn charger,23 Oxley Street,,,,,,,,,,,,,,,,,
Existing,Destination charger,In Town Motor Inn charger,77 Victoria St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Rydges Armidale charger,31 Marsh St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Coffs Central (1) charger,35 – 61 Harbour Drive,,,,,,,,,,,,,,,,,
Existing,Destination charger,Alroy Park Club - Singleton Diggers charger,8 Dorsman Dr,,,,,,,,,,,,,,,,,
Existing,Destination charger,Caves Coastal Bar and Bungalows charger,Unit 3/3 Mawson Cl,,,,,,,,,,,,,,,,,
Existing,Destination charger,Laman St Parking charger,25 Laman St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Rylstone Memorial Hall charger,73 Louee St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Hunter Valley Resort charger,CNR Hermitage Rd and Mistletow Ln,,,,,,,,,,,,,,,,,
Existing,Destination charger,Ropes Crossing Village Shopping Centre charger,8 Ropes Crossing Blvd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Rouse Hill Town Centre - Purple Car Park charger,72 Civic Way,,,,,,,,,,,,,,,,,
Existing,Destination charger,SolarBee charger,21 Station St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Eastern Creek Quarter charger,159 Rooty Hill Rd S,,,,,,,,,,,,,,,,,
Existing,Destination charger,Grove Square Baulkham Hills Mall (ex Stockland) charger,375 Windsor Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Conmurra Wildlife Sanctuary and Airbnb charger,49 Timber Ridge Road,,,,,,,,,,,,,,,,,
Existing,Destination charger,Jessie Street Centre charger,12 Macquarie St Parramatta NSW 2150,,,,,,,,,,,,,,,,,
Existing,Destination charger,Club Parramatta Car Park charger,2A Macquarie St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Mirvac South Eveleigh charger,2 Central Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,UNSW Sydney - Botany Street Carpark charger,Parking Station (H25),,,,,,,,,,,,,,,,,
Existing,Destination charger,Woollahra Municipal Council Chambers charger,536 New S Head Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,117 Glenayr Ave Parking charger,117 Glenayr Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,Nicholson St Carpark charger,19 Nicholson St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Sienna By The Bay - Marquet Street charger,2-6 Marquet St,,,,,,,,,,,,,,,,,
Existing,Destination charger,SIXT Artarmon charger,8 Cleg St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Top Ryde City Shopping Centre charger,Devlin St & Blaxland Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Cammeray Square (1) charger,450-476 Miller St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Best Western Plus Goulburn charger,77 Lagoon St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Dawning Day Winery charger,25 Rockleigh Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,The Rock Recreation Ground charger,60 Wilson St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Mino + Co Wines Cellar Door charger,113 Hanwood Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,Pelican Motor Inn charger,Pelican Motor Inn,,,,,,,,,,,,,,,,,
Existing,Destination charger,Heritage House Motel and Units charger,178 Imlay Street,,,,,,,,,,,,,,,,,
Existing,Fast charger,Ampol Foodary Northmead charger,98-100 Windsor Rd,,,,,,,,,,,,,,,,,
Existing,Fast charger,Shell Jamisontown charger,221 Wolseley St,,,,,,,,,,,,,,,,,
Existing,Fast charger,Royal Randwick charger,73 Belmore Road,,,,,,,,,,,,,,,,,
Existing,Fast charger,Everton Park charger,Everton Park,,,,,,,,,,,,,,,,,
Existing,Fast charger,Rouse Hill Village Centre charger,40 Panmure St,,,,,,,,,,,,,,,,,
Existing,Fast charger,The Silos Estate charger,640 Princes Hwy,,,,,,,,,,,,,,,,,
Existing,Fast charger,Coles Tenterfield charger,13 Crown St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Gymea Eco Retreat & Spa charger,128 Bonnydoon Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Mercato Shopping Centre charger,108-110 Jonson Street,,,,,,,,,,,,,,,,,
Existing,Destination charger,Varnsen Suites charger,10 Seymour street Laurieton,PORT MACQUARIE-HASTINGS,Laurieton,2443,-31.65059653,152.7958746,7:00 AM - 7:00 PM,Exploren,2,2,22 kW,0,2,0,-31.65059653,,,
Existing,Destination charger,Charles Sturt University charger,Charles Sturt University campus,,,,,,,,,,,,,,,,,
Existing,Destination charger,The Westport Club Carpark charger,25e Buller St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Flynns on Surf Beach Villas charger,25 Surf St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Emirates One & Only Wolgan Valley charger,2600 Wolgan Road,,,,,,,,,,,,,,,,,
Existing,Destination charger,Dogwood Hunter Valley charger,2 Casuarina Dr,,,,,,,,,,,,,,,,,
Existing,Destination charger,Dubbo Regional Council - Hawthorn St Depot charger,24 Hawthorn St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Seaside Resort charger,48 Marine Drive,,,,,,,,,,,,,,,,,
Existing,Destination charger,Upper Hunter Automotive charger,15-17 Rutherford Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Flick Pest Control Newcastle charger,3-5/14 Arunga Dr,,,,,,,,,,,,,,,,,
Existing,Destination charger,Sandvik Mining & Rock Technology charger,Gate 2/431 Masonite Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Jetty Motel charger,353 The Entrance Road,,,,,,,,,,,,,,,,,
Existing,Destination charger,Northern Beaches Council charger,55 Middleton Road,,,,,,,,,,,,,,,,,
Existing,Destination charger,Harbord Diggers charger,88 Evans St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Penrith Nissan charger,2140 Castlereagh Road Penrith NSW 2750,,,,,,,,,,,,,,,,,
Existing,Destination charger,Centrale charger,9-11 Delhi Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Macquarie University (1) charger,Macquarie University,,,,,,,,,,,,,,,,,
Existing,Destination charger,Eastern Creek Quarter XL charger,181 Rooty Hill Rd S,,,,,,,,,,,,,,,,,
 Creek NSW 2766,,,,,,,,,,,,,,,,,,,,
Existing,Destination charger,Westfield Chatswood Underground Car Park charger,1 Anderson Street,,,,,,,,,,,,,,,,,
Existing,Destination charger,Armada Bathurst Shopping Centre charger,121 Howick St Bathurst NSW 2795,,,,,,,,,,,,,,,,,
Existing,Destination charger,Eclipse Tower charger,60 Station St E,,,,,,,,,,,,,,,,,
Existing,Destination charger,Camden Council - Oran Park Library Car Park charger,72 Central Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,Club Parramatta charger,2 Macquarie St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Tumbling Waters Retreat & Restaurant charger,31 Stonehaven Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Christison Park - Old South Head Rd charger,773 Old South Head Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,The Grand Eastlakes Shopping Centre charger,19 Evans Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,George St - Rockdale - Arc Renewable Group charger,35-37 George St,,,,,,,,,,,,,,,,,
Existing,Destination charger,50 Wiley St Parking charger,50 Wiley St,,,,,,,,,,,,,,,,,
Existing,Destination charger,St Johns Rd Parking charger,75 St Johns Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Baird Ave Carpark charger,37-39 Baird Avenue,,,,,,,,,,,,,,,,,
Existing,Destination charger,Google Sydney charger,48 Pirrama Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Wilson Parking Market City charger,9-13 Hay St,,,,,,,,,,,,,,,,,
Existing,Destination charger,ICC Sydney Theatre Car Park (Car Park 2) charger,14 Darling Dr,,,,,,,,,,,,,,,,,
Existing,Destination charger,Westfield Bondi Junction - Valet charger,500 Oxford St,,,,,,,,,,,,,,,,,
Existing,Destination charger,55 Pyrmont St Parking charger,55 Pyrmont St,,,,,,,,,,,,,,,,,
Existing,Destination charger,EuropCar charger,39 Herbert St,,,,,,,,,,,,,,,,,
Existing,Destination charger,54 Gordon Cres Kerbside Charger charger,54 Gordon Crescent,,,,,,,,,,,,,,,,,
Existing,Destination charger,Darling Quarter First Parking charger,1/11 Harbour St,,,,,,,,,,,,,,,,,
Existing,Destination charger,First Parking Darling Quarter charger,1/11 Harbour St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Avia Apartments charger,125 Wellsvale Drive Googong,QUEANBEYAN-PALERANG REGIONAL,Googong,2620,-35.42142029,149.2280742,Only for residents of Avia Apartments,,1,1,kW,0,1,0,-35.42142029,,,
Existing,Destination charger,Broulee Brewhouse charger,71 Coronation Dr,,,,,,,,,,,,,,,,,
Existing,Destination charger,SolarHub Batemans Bay charger,1/25 Vesper St,,,,,,,,,,,,,,,,,
Existing,Destination charger,The Isla charger,222 Beach Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,The Anchorage charger,2 West St,,,,,,,,,,,,,,,,,
Existing,Destination charger,The Cottage Motor Inn charger,Cottage Motor Inn,,,,,,,,,,,,,,,,,
Existing,Destination charger,Sapphire Drive 2 charger,29 Sapphire Coast Drive,BEGA VALLEY,Merimbula,2548,-36.88454259,149.9048447,,EVUp,2,2,kW,0,2,0,-36.88454259,,,
Existing,Fast charger,NRMA - Goulburn charger,53 Sydney Road,,,,,,,,,,,,,,,,,
Existing,Fast charger,ENGIE - Chatswood Chase charger,345 Victoria Avenue,,,,,,,,,,,,,,,,,
Existing,Fast charger,ENGIE - Greenway Wetherill Park charger,1183-1187 The Horsley Drive,,,,,,,,,,,,,,,,,
Existing,Fast charger,BP Marulan Southbound charger,15597 Hume Hwy,,,,,,,,,,,,,,,,,
Existing,Fast charger,bp Nambucca Heads charger,5 Boggy Creek Rd,,,,,,,,,,,,,,,,,
Existing,Fast charger,BP Ashfield charger,586A Parramatta Rd,,,,,,,,,,,,,,,,,
Existing,Fast charger,Mittagong RSL Car Park charger,9 Bessemer St,,,,,,,,,,,,,,,,,
Existing,Fast charger,Dan Murphy's Burwood charger,312 Parramatta Rd,,,,,,,,,,,,,,,,,
Existing,Fast charger,HomeCo. Tuggerah Super Centre charger,Bryant Drive & Wyong Road,,,,,,,,,,,,,,,,,
Existing,Destination charger,Tabulam Sports Ground charger,39 Clarence St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Riptide Wooli charger,48 Main St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Sawtell Motor Inn charger,57 Boronia Street,,,,,,,,,,,,,,,,,
Existing,Destination charger,Spicers Tower Lodge charger,6 Halls Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Maitland Riverside Plaza charger,405 High St,,,,,,,,,,,,,,,,,
Existing,Destination charger,University of Newcastle - P6 Carpark charger,The University of Newcastle,,,,,,,,,,,,,,,,,
Existing,Destination charger,Harold Gregson Reserve - Maitland City Council charger,174 High St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Warriewood Square charger,Warriewood Square,,,,,,,,,,,,,,,,,
Existing,Destination charger,Loreto Normanhurst charger,2 Osborn Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Chatswood Chase Sydney charger,345 Victoria Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,Glen Isla Blue Mountains charger,6 The Avenue,,,,,,,,,,,,,,,,,
Existing,Destination charger,Thornleigh Squash and Fitness charger,6 Duffy Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,Macarthur Centre for Sustainable Living charger,Lot 1 Mount Annan Dr,,,,,,,,,,,,,,,,,
Existing,Destination charger,Parramatta Motor Group Service Centre charger,3 Grand Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,Oberon Visitor Information Centre charger,48 Ross St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Energy Trade Edmondson Park charger,120 Passendale Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Sydney Hybrid & Electric Cars charger,19-26 Durian Pl,,,,,,,,,,,,,,,,,
Existing,Destination charger,BMW Sydney Rushcutters Bay charger,65 Craigend St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Echarging charger,54 Amy street regents park nsw 2143,CUMBERLAND,Regents Park,2143,-33.8843326,151.0276439,,,1,1,kW,1,0,0,-33.8843326,,,
Existing,Destination charger,2 Huntley St Parking charger,2 Huntley Street Alexandria,,,,,,,,,,,,,,,,,
Existing,Destination charger,Brigidine College Wilson Car Park charger,49 St Pauls St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Adina Apartment Hotel Chippendale charger,42 Boundary St,,,,,,,,,,,,,,,,,
Existing,Destination charger,137 Bronte Road Parking charger,137 Bronte Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Holiday Inn Sydney Airport charger,154 O'Riordan St.,,,,,,,,,,,,,,,,,
Existing,Destination charger,Park on King charger,338 King St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Bressington Park Carpark charger,Underwood Road opp Dfo Homebush,,,,,,,,,,,,,,,,,
Existing,Destination charger,DFO Homebush (2) charger,3-5 Underwood Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Ibis Sydney Airport charger,205 O'Riordan St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Middy's Meadowbank charger,28 Constitution Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Church St Car Park Top Ryde charger,21 Church St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Park Apartments charger,15-21 Mindarie St,,,,,,,,,,,,,,,,,
Existing,Destination charger,14 George St Parking charger,14 George St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Joadja Historic Site & Distillery charger,1760 Joadja Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Dovecote charger,27 Princes Hwy,,,,,,,,,,,,,,,,,
Existing,Destination charger,Park Central charger,30 Shaban St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Mollymook Seascape Motel charger,22-24 Princes Hwy,,,,,,,,,,,,,,,,,
Existing,Destination charger,Bodalla Dairy Shed & Cheese Factory charger,52 Princes Hwy,,,,,,,,,,,,,,,,,
Existing,Destination charger,Flyfaire Wines charger,1190 Tunnel Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Royal Hotel Mandurama charger,14 Olive St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Quality Resort Siesta charger,422 Wagga Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Summer Hill Motor Inn charger,24-26 Merimbula Drive Merimbula NSW 2548,,,,,,,,,,,,,,,,,
Existing,Destination charger,The Man From Snowy River Hotel charger,Kosciuszko Rd,,,,,,,,,,,,,,,,,
Existing,Fast charger,NRMA - Sydney charger,4 Defries Avenue,,,,,,,,,,,,,,,,,
Existing,Fast charger,Mirvac South Eveleigh charger,2 Central Avenue,,,,,,,,,,,,,,,,,
Existing,Fast charger,bp Penrith charger,2213 Castlereagh Rd,,,,,,,,,,,,,,,,,
Existing,Fast charger,Murrumbateman Country Inn charger,2 Hercules St,,,,,,,,,,,,,,,,,
Existing,Fast charger,Seven Hills Plaza charger,224 Prospect Hwy,,,,,,,,,,,,,,,,,
Existing,Fast charger,Brewarrina Visitor Information & Exhibition Centre charger,50 Bathurst St,,,,,,,,,,,,,,,,,
Existing,Fast charger,Toronto Commercial Centre Carpark charger,7 Pemell St,,,,,,,,,,,,,,,,,
Existing,Fast charger,Goodwood St Parking charger,110 Anzac Parade,,,,,,,,,,,,,,,,,
Existing,Fast charger,The Farm Byron Bay charger,11 Ewingsdale Rd,,,,,,,,,,,,,,,,,
Existing,Fast charger,Big 4 Holiday Park charger,282 O'Keefes Ln,,,,,,,,,,,,,,,,,
Existing,Destination charger,Baths Motel charger,339 Warialda Street,,,,,,,,,,,,,,,,,
Existing,Destination charger,Seagull Club Tweed Heads charger,54-68 Gollan Drive,,,,,,,,,,,,,,,,,
Existing,Destination charger,Wordsworth St Kerbside charger charger,Wordsworth St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Beach Hotel Resort charger,1 Bay Ln,,,,,,,,,,,,,,,,,
Existing,Destination charger,Hempcrete Cottage Accommodation charger,48 Nashua Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Pacific Bay Resort charger,Cnr Pacific Hwy and,,,,,,,,,,,,,,,,,
Existing,Destination charger,Epiq Market Shopping Center charger,5 Snapper Drive,,,,,,,,,,,,,,,,,
